"","recipient_city","Primary_Type","Payment","date","year","Number_of_Payments","Payment_Form","Payment_Nature","Third_Party_Payment"
"26259","SIOUX FALLS","Medical Doctor",1800,2017-03-28,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26275","SIOUX FALLS","Medical Doctor",2172.2,2017-03-28,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26346","WATERTOWN","Medical Doctor",3750,2017-03-29,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26350","SIOUX FALLS","Medical Doctor",1600,2017-03-29,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26353","SIOUX FALLS","Medical Doctor",2861.84,2017-03-29,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"26357","WATERTOWN","Medical Doctor",3750,2017-03-29,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26364","SIOUX FALLS","Medical Doctor",5490,2017-03-29,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26421","SIOUX FALLS","Medical Doctor",1500,2017-03-29,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26424","SIOUX FALLS","Medical Doctor",1500,2017-03-29,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26426","SIOUX FALLS","Medical Doctor",1500,2017-03-29,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26451","SIOUX FALLS","Doctor of Osteopathy",2900,2017-03-30,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26479","Sioux Falls","Medical Doctor",3000,2017-03-30,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26483","DAKOTA DUNES","Doctor of Podiatric Medicine",2032,2017-03-30,"2017",1,"In-kind items and services","Education","No Third Party Payment"
"26512","Sioux Falls","Medical Doctor",1151.51,2017-03-30,"2017",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"26517","Sioux Falls","Medical Doctor",3000,2017-03-30,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26521","SIOUX FALLS","Medical Doctor",2100,2017-03-30,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26536","Sioux Falls","Medical Doctor",2600,2017-03-30,"2017",1,"Cash or cash equivalent","Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program","No Third Party Payment"
"26550","SIOUX FALLS","Medical Doctor",1800,2017-03-31,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26561","SIOUX FALLS","Medical Doctor",1200,2017-03-31,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26602","Sioux Falls","",10323,2017-03-31,"2017",1,"In-kind items and services","Gift","No Third Party Payment"
"26609","SIOUX FALLS","Medical Doctor",2275,2017-03-31,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26616","SIOUX FALLS","",2068.5,2017-03-31,"2017",1,"Cash or cash equivalent","Gift","No Third Party Payment"
"26618","Sioux Falls","",3441,2017-03-31,"2017",1,"In-kind items and services","Gift","No Third Party Payment"
"26641","RAPID CITY","Medical Doctor",1703.58,2017-04-02,"2017",3,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"26656","SIOUX FALLS","Medical Doctor",1650,2017-04-03,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26692","RAPID CITY","Medical Doctor",7885,2017-04-03,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"26693","SIOUX FALLS","Medical Doctor",2800,2017-04-03,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26728","SIOUX FALLS","Medical Doctor",2151,2017-04-04,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"26751","RAPID CITY","Medical Doctor",2400,2017-04-04,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26771","Sioux Falls","Medical Doctor",3500,2017-04-04,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26806","JEFFERSON","Doctor of Dentistry",2500,2017-04-05,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26810","SIOUX FALLS","Medical Doctor",1500,2017-04-05,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26825","SIOUX FALLS","Medical Doctor",1500,2017-04-05,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26827","SIOUX FALLS","Doctor of Osteopathy",2750,2017-04-05,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26833","SIOUX FALLS","Medical Doctor",2150,2017-04-05,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26848","SIOUX FALLS","Medical Doctor",2100,2017-04-05,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26850","SIOUX FALLS","Medical Doctor",1800,2017-04-05,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26865","SIOUX FALLS","Medical Doctor",1500,2017-04-05,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26885","SIOUX FALLS","Medical Doctor",1700,2017-04-05,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26941","Sioux Falls","Medical Doctor",2010,2017-04-06,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","Entity"
"26962","SIOUX FALLS","Medical Doctor",1650,2017-04-06,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"26968","SIOUX FALLS","Doctor of Osteopathy",2762.5,2017-04-06,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"27000","SIOUX FALLS","Doctor of Osteopathy",2723,2017-04-06,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"27041","SIOUX FALLS","Medical Doctor",2762.5,2017-04-06,"2017",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"27127","SIOUX FALLS","Medical Doctor",1500,2017-04-07,"2017",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
